start,end,bars,final,peak,mult_final,mult_peak,hit_10000x,trades,pf,mdd,liq,bars_to_target
2021-08-04 00:00:00+00:00,2021-10-03 00:00:00+00:00,86401,0.19520658511309308,100.0,0.0019520658511309307,1.0,False,26,0.010791025072232407,-99.9368863150023,0,-1.0
2021-09-03 00:00:00+00:00,2021-11-02 00:00:00+00:00,86401,1.1936413907893427e-08,100.0,1.1936413907893426e-10,1.0,False,36,0.4045834069476579,-99.99999998806358,3,-1.0
2021-10-03 00:00:00+00:00,2021-12-02 00:00:00+00:00,86401,5.815424124832669e-12,100.0,5.815424124832668e-14,1.0,False,33,1.1079321173883744e-12,-99.99999999999419,4,-1.0
2021-11-02 00:00:00+00:00,2022-01-01 00:00:00+00:00,86401,3.0035415062037508e-05,100.0,3.0035415062037506e-07,1.0,False,27,0.0011297098841978011,-99.99998633749779,1,-1.0
2021-12-02 00:00:00+00:00,2022-01-31 00:00:00+00:00,86401,0.029677229542907902,100.0,0.00029677229542907904,1.0,False,23,0.003949713070889911,-99.97032277045709,0,-1.0
2022-01-01 00:00:00+00:00,2022-03-02 00:00:00+00:00,86401,0.03607967024197977,100.0,0.0003607967024197977,1.0,False,30,0.3311747895288246,-99.98663814378087,1,-1.0
2022-01-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,86401,0.00010545709692435108,431.83281556357406,1.0545709692435108e-06,4.318328155635741,False,35,0.8140275282145737,-99.99997557918408,2,-1.0
2022-03-02 00:00:00+00:00,2022-05-01 00:00:00+00:00,86401,3.700726835544059e-05,100.0,3.700726835544059e-07,1.0,False,33,0.03134666316513557,-99.99996299273164,1,-1.0
2022-04-01 00:00:00+00:00,2022-05-31 00:00:00+00:00,86401,8.77631826454855e-06,100.0,8.776318264548551e-08,1.0,False,37,0.0541351921876762,-99.99999122368173,1,-1.0
2022-05-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,86401,0.0001120962486607265,146.41911610443924,1.120962486607265e-06,1.4641911610443925,False,33,0.5002177407269612,-99.99994607116047,1,-1.0
2022-05-31 00:00:00+00:00,2022-07-30 00:00:00+00:00,86401,0.03749576435740773,100.0,0.0003749576435740773,1.0,False,32,0.1481956384674493,-99.9625042356426,0,-1.0
2022-06-30 00:00:00+00:00,2022-08-29 00:00:00+00:00,86401,0.020570670422897674,297.07914630957436,0.00020570670422897675,2.9707914630957437,False,38,0.716019594717731,-99.99307569357244,0,-1.0
2022-07-30 00:00:00+00:00,2022-09-28 00:00:00+00:00,86401,0.0001171749526273294,100.0,1.171749526273294e-06,1.0,False,36,0.33486070830146036,-99.99988282504737,1,-1.0
2022-08-29 00:00:00+00:00,2022-10-28 00:00:00+00:00,86401,2.8386408209355104e-05,100.0,2.8386408209355107e-07,1.0,False,36,0.017355116990923333,-99.99997161359178,1,-1.0
2022-09-28 00:00:00+00:00,2022-11-27 00:00:00+00:00,86401,0.00017461710267422162,134.86748322437006,1.7461710267422163e-06,1.3486748322437005,False,36,0.26002088813771684,-99.99987052690649,0,-1.0
2022-10-28 00:00:00+00:00,2022-12-27 00:00:00+00:00,86401,0.0006227730653091018,100.0,6.227730653091019e-06,1.0,False,30,0.0,-99.9993772269347,0,-1.0
2022-11-27 00:00:00+00:00,2023-01-26 00:00:00+00:00,86401,0.010331493932139687,100.0,0.00010331493932139688,1.0,False,28,0.014781751303111948,-99.98966850606786,0,-1.0
2022-12-27 00:00:00+00:00,2023-02-25 00:00:00+00:00,86401,0.02417193059586582,214.77939483131473,0.0002417193059586582,2.147793948313147,False,33,0.5346275200073257,-99.99429400746752,0,-1.0
2023-01-26 00:00:00+00:00,2023-03-27 00:00:00+00:00,86401,0.0015622622917624393,100.0,1.5622622917624394e-05,1.0,False,38,0.16054722711197714,-99.99843773770823,1,-1.0
2023-02-25 00:00:00+00:00,2023-04-26 00:00:00+00:00,86401,6.013027627376352e-05,232.0622425327139,6.013027627376352e-07,2.320622425327139,False,43,0.7603755048168016,-99.99997408872912,1,-1.0
2023-03-27 00:00:00+00:00,2023-05-26 00:00:00+00:00,86401,0.001678983505560843,100.0,1.678983505560843e-05,1.0,False,42,0.017345156358723468,-99.99832101649444,0,-1.0
2023-04-26 00:00:00+00:00,2023-06-25 00:00:00+00:00,86401,0.37647752595395545,100.0,0.0037647752595395545,1.0,False,32,0.18511237622758073,-99.8365256739855,0,-1.0
2023-05-26 00:00:00+00:00,2023-07-25 00:00:00+00:00,86401,0.9054754198929091,131.65941344378854,0.009054754198929092,1.3165941344378853,False,25,0.5938736582916901,-99.31225926334581,0,-1.0
